old_my_translation,new_deepseek
"TTLOCK MYSTIC PRO ( SIZE 40+40 ) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。","TTLOCK MYSTIC PRO (SIZE 40+40) — TTLock智能锁：多种开锁方式，配备网关后可通过App远程管理与下发密码。"
"TTLOCK MYSTIC V1 ( 60-90mm ) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。","TTLOCK MYSTIC V1 (60-90mm) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。"
"TTLOCK MYSTIC V1 ( 90-120mm ) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。","TTLOCK MYSTIC V1 (90-120mm) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。"
"TTLOCK RENTY ( BLACK ) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。","TTLOCK RENTY (BLACK) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。"
"TTLOCK RENTY ( WHITE ) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。","TTLOCK RENTY (WHITE) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。"
"TTLOCK SMART HOTEL CYLINDER ( SIZE 35+35 ) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。","TTLOCK SMART HOTEL CYLINDER (SIZE 35+35) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。"
"网关 / 配件","网关/配件"
"TTLOCK RENTY WIFI ( BLACK ) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。","TTLOCK RENTY WIFI (BLACK) — TTLock 智能锁：多种开锁方式，配备网关后可通过 App 远程管理与下发密码。"
"绿色产品认证，低 VOC 含量","绿色产品认证，低VOC含量"
"北京东方雨虹 东方雨虹（SZSE 002271）—— 中国最大的防水材料制造商，成立于 1995 年","北京东方雨虹 东方雨虹（SZSE 002271）—— 中国最大的防水材料制造商，成立于1995年"
"卷宽 1m，长 10–20m/卷；托盘缠膜","卷宽1m，长10–20m/卷；托盘缠膜"
"涂料/coating","涂料"
"雨虹材料有进口用的 GB 标准吗？","雨虹材料有进口用的GB标准吗？"
"有。提供适用标准（GB）+ 检测报告；华越供应链协助进口单证。","有。提供适用标准（GB）+检测报告；华越供应链协助进口单证。"
"TPO / HDPE / PE 高分子","TPO/HDPE/PE高分子"
"热焊接 / 基层自粘","热焊接/基层自粘"
"耐化学","耐化学腐蚀"
"雨虹 SBS/APP 改性沥青卷材（太空堡 TKB、PMB、ARC 系列）—— 高弹性、耐高低温、热熔施工，用于屋面、地下室、承重项目。","雨虹 SBS/APP 改性沥青卷材（太空堡 TKB、PMB、ARC 系列）——高弹性、耐高低温、热熔施工，用于屋面、地下室、承重项目。"
"SBS / APP 改性沥青，聚酯/玻纤增强","SBS/APP 改性沥青，聚酯/玻纤增强"
"热熔（torch-on）","热熔施工"
"雨虹自粘卷材（TKB 2xx/3xx/4xx、SAM）—— 撕膜冷粘、无需明火、施工安全，可冷粘/湿铺，用于地下室、卫生间、屋面。","雨虹自粘卷材（TKB 2xx/3xx/4xx、SAM）——撕膜冷粘、无需明火、施工安全，可冷粘/湿铺，用于地下室、卫生间、屋面。"
"撕膜冷粘 / 湿铺（wet-lay）","撕膜冷粘/湿铺"
"雨虹聚氨酯（PU）防水涂料（SPU、GES）—— 无缝高弹涂膜、附着力好，用于屋面、露台、卫生间、复杂结构。","雨虹聚氨酯（PU）防水涂料（SPU、GES）——无缝高弹涂膜、附着力好，用于屋面、露台、卫生间、复杂结构。"
"单组分 / 双组分聚氨酯","单组分/双组分聚氨酯"
"雨虹水性防水涂料（JS/JSA 聚合物水泥、HCA 丙烯酸、VPC）—— 环保、可潮湿基面施工，用于卫生间、水池、外墙。","雨虹水性防水涂料（JS/JSA 聚合物水泥、HCA 丙烯酸、VPC）——环保、可潮湿基面施工，用于卫生间、水池、外墙。"
"聚合物水泥（JS/JSA）/ 丙烯酸（HCA）/ 透汽（VPC）","聚合物水泥（JS/JSA）/丙烯酸（HCA）/透汽（VPC）"
"雨虹沥青基防水涂料（PBC 非固化、BBC、BCW）—— 附着力极强、自愈破损，用于地下室、道桥、埋地项目。","雨虹沥青基防水涂料（PBC 非固化、BBC、BCW）——附着力极强、自愈破损，用于地下室、道桥、埋地项目。"
"非固化橡胶沥青（PBC）/ 水性（BCW）","非固化橡胶沥青（PBC）/水性（BCW）"
"雨虹刚性防水（PCC 水泥渗透结晶型）—— 深入渗透混凝土，生成结晶封堵毛细孔，从内部防水，用于水池、地下室、水库。","雨虹刚性防水（PCC 水泥渗透结晶型）——深入渗透混凝土，生成结晶封堵毛细孔，从内部防水，用于水池、地下室、水库。"
"水泥渗透结晶型（crystalline）","水泥渗透结晶型"
"太空堡SBS改性沥青防水卷材","太空堡 SBS 改性沥青防水卷材"
"厚度 / Thickness","厚度"
"卷材幅宽 / Width","卷材幅宽"
"卷材长度 / Length","卷材长度"
"适用标准 / Standard","适用标准"
"材料 / Material","材料"
"适用范围 / Application","适用范围"
"夏季施工更「凉爽」，可降低表面温度 20℃ 以上，避免高温粘连","夏季施工更凉爽，可降低表面温度 20℃ 以上，避免高温粘连"
"SAM-920 无胎自粘聚合物改性沥青防水卷材，是以无胎聚合物改性沥青为基料的自粘防水卷材。","SAM-920 无胎自粘聚合物改性沥青防水卷材，是以无胎聚合物改性沥青为基料的自粘防水卷材"
"各类工程的非外露面、地下及室内防水工程，以及明挖地铁、隧道、水池、水渠等工程。","各类工程的非外露面、地下及室内防水工程，以及明挖地铁、隧道、水池、水渠等工程"
"适用于各类工程的非外露面、地下及室内防水工程，以及明挖地铁、隧道、水池等工程。","适用于各类工程的非外露面、地下及室内防水工程，以及明挖地铁、隧道、水池等工程"
"自愈性强：「自愈」功能好，可防止窜水现象","自愈性强：自愈功能好，可防止窜水现象"
"SAM924 —— 纤维增强型高分子膜基自粘沥青防水卷材","SAM-924 —— 纤维增强型高分子膜基自粘沥青防水卷材"
"SAM924 纤维增强型高分子膜基自粘沥青防水卷材，采用高分子膜、纤维增强层与涂硅隔离膜结构，可湿铺、自粘施工，实现刚柔结合防水效果","SAM-924 纤维增强型高分子膜基自粘沥青防水卷材，采用高分子膜、纤维增强层与涂硅隔离膜结构，可湿铺、自粘施工，实现刚柔结合防水效果"
"A 组分 20kg/桶；B 组分 20kg/桶","A组分 20kg/桶；B组分 20kg/桶"
"粘结性能好、粘结力强：可与多种基层粘结，粘结强度 2.5MPa 以上","粘结性能好、粘结力强：可与多种基层粘结，粘结强度2.5MPa以上"
"低温柔性卓越：-35℃ 弯折不裂，适用于低温防水工程","低温柔性卓越：-35℃弯折不裂，适用于低温防水工程"
"HCA-101 高弹厚质丙烯酸酯防水涂料是单组分水性液态防水涂料，白色，可在潮湿基面冷施工，开盖即用，涂膜强度高、伸长率大、绿色环保","HCA-101高弹厚质丙烯酸酯防水涂料是单组分水性液态防水涂料，白色，可在潮湿基面冷施工，开盖即用，涂膜强度高、伸长率大、绿色环保"
"25 kg/桶","25kg/桶"
"≥1.0MPa（典型值 1.2MPa）","≥1.0MPa（典型值1.2MPa）"
"低温弯折性出色：低温弯折性能好（-15℃ 弯折不裂）","低温弯折性出色：低温弯折性能好（-15℃弯折不裂）"
"东方雨虹 HCA-108 屋面丙烯酸高弹防水涂料是单组分水性丙烯酸防水涂料，开盖即用，低温弯折性好，户外耐久性与抗","东方雨虹HCA-108屋面丙烯酸高弹防水涂料是单组分水性丙烯酸防水涂料，开盖即用，低温弯折性好，户外耐久性与抗"
"JG/T375-2012《金属屋面丙烯酸高弹防水涂料》","JG/T 375-2012《金属屋面丙烯酸高弹防水涂料》"
"20 kg/桶","20kg/桶"
"≥65%（典型值 67%）","≥65%（典型值67%）"
"≥150%（典型值 301%）","≥150%（典型值301%）"
"≥1.5MPa（典型值 1.8MPa）","≥1.5MPa（典型值1.8MPa）"
"低温弯折性出色（-30℃ 弯折不裂）","低温弯折性出色（-30℃弯折不裂）"
"高弹性，断裂伸长率高（典型值 301%）","高弹性，断裂伸长率高（典型值301%）"
"JSA-101 —— 聚合物水泥防水涂料（I 型）","JSA-101 —— 聚合物水泥防水涂料（I型）"
"JSA-101（I 型）聚合物水泥防水涂料是双组分聚合物水泥防水涂料，由液料与粉料按比例配制而成，适用于卫浴间等室内部位的防水工程","JSA-101（I型）聚合物水泥防水涂料是双组分聚合物水泥防水涂料，由液料与粉料按比例配制而成，适用于卫浴间等室内部位的防水工程"
"≥70%（典型值 ≥74%）","≥70%（典型值≥74%）"
"≥1.2MPa（典型值 ≥1.5MPa）","≥1.2MPa（典型值≥1.5MPa）"
"JSA-203 外墙专用透汽型聚合物水泥防水涂料，双组分产品，液料为黏稠液体，粉料为粉状。透气性好，适用于工程","JSA-203外墙专用透汽型聚合物水泥防水涂料，双组分产品，液料为黏稠液体，粉料为粉状。透气性好，适用于工程"
"塑料桶 10kg/桶或阀口袋 23kg/袋","塑料桶10kg/桶或阀口袋23kg/袋"
"≥70%（典型值 84.5%）","≥70%（典型值84.5%）"
"透气防水：透气性好，可耐 0.3MPa 水压","透气防水：透气性好，可耐0.3MPa水压"
"VPC-100 透汽型柔性防水涂料，单组分水性液态防水涂料，白色，塑料桶 20kg/桶包装，兼具阻挡液态水与透过气态水汽的功能，适用于","VPC-100 透汽型柔性防水涂料，单组分水性液态防水涂料，白色，塑料桶20kg/桶包装，兼具阻挡液态水与透过气态水汽的功能，适用于"
"塑料桶 20kg/桶","塑料桶20kg/桶"
"≥60%（典型值 64%）","≥60%（典型值64%）"
"1000mm 水柱，2h 不透水","1000mm水柱，2h不透水"
"水性体系：安全环保，无刺激性气味，不添加任何有机溶剂，低 VOC","水性体系：安全环保，无刺激性气味，不添加任何有机溶剂，低VOC"
"与系统基层配合：阻燃性能达 B1 级","与系统基层配合：阻燃性能达B1级"
"≥50%（典型值 ≥60%）","≥50%（典型值≥60%）"
"160℃ 不流淌、不滑移、不滴落","160℃不流淌、不滑移、不滴落"
"-25℃ 无裂纹","-25℃无裂纹"
"≥800%（典型值 975%）","≥800%（典型值975%）"
"耐 160℃ 以上高温，高温抗剪滑性好，可承受沥青混凝土摊铺过程中的热冲击","耐160℃以上高温，高温抗剪滑性好，可承受沥青混凝土摊铺过程中的热冲击"
"140℃ 不滑移、不流淌、不滴落","140℃不滑移、不流淌、不滴落"
"耐热性好（140℃ 不滑移、不流淌、不滴落），低温柔性 -15℃","耐热性好（140℃不滑移、不流淌、不滴落），低温柔性-15℃"
"PBC-328 非固化橡胶沥青防水涂料是黑色膏状物，固含量大于 98%，施工后无需干燥即可铺贴卷材，具有粘结性、抗反渗性及自愈性","PBC-328 非固化橡胶沥青防水涂料是黑色膏状物，固含量大于98%，施工后无需干燥即可铺贴卷材，具有粘结性、抗反渗性及自愈性"
"铁桶，20 kg/桶","铁桶，20kg/桶"
"≥98%（典型值 ≥99%）","≥98%（典型值≥99%）"
"≥180℃（典型值 ≥210℃）","≥180℃（典型值≥210℃）"
"Guangdong Zhongju Yabai Building Materials Technology Co., Ltd. (广东中居亚百建材科技) chuyên sản xuất tấm phủ vô cơ (无机预涂板) — còn gọi «tấm băng hỏa» (冰火板) / tấm sạch (洁净板) — vật liệu ốp bề mặt cao cấp cho tường ngăn và trần nội/ngoại thất. Công ty tích hợp R&D, sản xuất và kinh doanh với đội ngũ kỹ thuật giàu kinh nghiệm cùng dây chuyền tự động hoá; đặt tại khu Tam Thuỷ (Sanshui), thành phố Phật Sơn (Foshan), Quảng Đông.","Guangdong Zhongju Yabai Building Materials Technology Co., Ltd. (广东中居亚百建材科技) 专业生产无机预涂板（又称冰火板/洁净板），是用于内外墙隔断和吊顶的高端饰面材料。公司集研发、生产和销售于一体，拥有经验丰富的技术团队和自动化生产线，位于广东佛山三水区。"
"Zhongju Yabai 中居亚百 (Guangdong Zhongju Yabai)","Zhongju Yabai 中居亚百（广东中居亚百）"
"Tấm phủ vô cơ 无机预涂板 / 冰火板 / 洁净板, tấm ốp tường","无机预涂板/冰火板/洁净板，墙面板"
"Guangdong Zhongju Yabai Building Materials Technology (中居亚百) — Tam Thuỷ, Phật Sơn","广东中居亚百建材科技有限公司（中居亚百）—— 佛山三水"
"Tấm băng hỏa (冰火板)","冰火板"
"Tấm băng hỏa vô cơ (无机预涂板/冰火板)","无机预涂板/冰火板"
"Tấm băng hỏa vô cơ phủ sẵn (无机预涂板/冰火板)","无机预涂板/冰火板"
"Tấm phủ vô cơ (无机预涂板)/băng hỏa","无机预涂板/冰火板"
"Tấm sạch (洁净板)","洁净板"
"Tấm sạch vô cơ (无机预涂板) Zhongju Yabai với bề mặt phẳng mịn, màu trơn xen kẽ hồng pastel và trắng. Vật liệu vô cơ chống cháy cấp A, chống ẩm-mốc, kháng khuẩn và không phát thải formaldehyde, phù hợp cho không gian yêu cầu vệ sinh cao.","无机预涂板（Zhongju Yabai）表面平整光滑，颜色为粉彩和白色相间。无机材料防火等级A级，防潮防霉，抗菌且无甲醛释放，适用于高卫生要求场所。"
"Tấm sạch vô cơ (无机预涂板)","无机预涂板"
"Tấm sạch (洁净板) vô cơ phủ sẵn của Zhongju Yabai với bề mặt trơn màu xanh lá tươi và màu kem trung tính, đạt chống cháy cấp A, chống ẩm chống mốc, kháng khuẩn và không phát thải formaldehyde. Phù hợp cho không gian yêu cầu vệ sinh cao như bệnh viện và phòng sạch.","Zhongju Yabai 无机预涂洁净板，表面光滑，颜色为鲜绿色和中性米色，防火等级A级，防潮防霉，抗菌且无甲醛释放。适用于医院、洁净室等高卫生要求场所。"
"Tấm phủ vô cơ (无机预涂板) / tấm sạch","无机预涂板/洁净板"
"Tấm sạch (洁净板) vô cơ y tế Zhongju Yabai, bề mặt nhẵn màu pastel hồng nhạt và kem trắng. Vật liệu vô cơ chống cháy cấp A, chống ẩm-mốc, kháng khuẩn và không phát thải formaldehyde, phù hợp cho không gian sạch yêu cầu vệ sinh cao.","Zhongju Yabai 医用无机预涂洁净板，表面光滑，颜色为浅粉彩和乳白色。无机材料防火等级A级，防潮防霉，抗菌且无甲醛释放，适用于高卫生要求的洁净空间。"
"Tấm sạch vô cơ (洁净板)","洁净板"
"Tấm ốp tường (护墙板)","护墙板"
"Tấm phủ vô cơ (无机预涂板) ốp tường","无机预涂板 护墙板"
"Tấm phủ vô cơ (无机预涂板) / tấm ốp tường","无机预涂板 / 护墙板"
"Tấm ốp tường vô cơ (无机预涂板) của Zhongju Yabai với dải màu pastel đa sắc (xanh dương, xanh lá, hồng, vàng nhạt, kem, xám, trắng), bề mặt nhẵn mịn lì. Cốt vô cơ chống cháy cấp A, chống ẩm, chống mốc, kháng khuẩn và không phát thải formaldehyde, phù hợp ốp tường nội-ngoại thất.","中居雅百无机预涂板（护墙板），多色柔和色系（蓝、绿、粉、浅黄、米、灰、白），表面光滑哑光。无机基材，防火A级，防潮防霉，抗菌，无甲醛释放，适用于室内外墙面。"
"Tấm phủ vô cơ (无机预涂板) - tấm ốp tường","无机预涂板 - 护墙板"
"Tấm ốp tường phủ vô cơ (护墙板/无机预涂板)","无机预涂护墙板"
"Vật liệu chống cháy (无机预涂板)","无机预涂板（防火材料）"
"Tấm phủ vô cơ (无机预涂板) chống cháy cấp A của Zhongju Yabai, bề mặt vân gỗ sáng tông be nhạt, đi kèm cả các tấm trơn màu kem trong cùng dòng. Cốt vô cơ giúp chống ẩm, chống mốc, kháng khuẩn và không phát thải formaldehyde, phù hợp ốp tường/trần nội-ngoại thất.","中居雅百无机预涂板，防火A级，浅米色木纹表面，同系列纯米色板可选。无机基材防潮防霉，抗菌，无甲醛释放，适用于室内外墙面/天花板。"
"Tấm phủ vô cơ (无机预涂板) / băng hỏa","无机预涂板 / 防火带"
"Tấm phủ vô cơ (无机预涂板) chống cháy của Zhongju Yabai với bề mặt vân gỗ sáng tự nhiên, kèm tùy chọn màu trắng trơn. Vật liệu nền vô cơ đạt chống cháy cấp A, chống ẩm, chống mốc, kháng khuẩn và không phát thải formaldehyde, phù hợp ốp tường-trần ở môi trường yêu cầu vệ sinh cao.","中居雅百无机预涂防火板，浅自然木纹表面，可选纯白色。无机基材，防火A级，防潮防霉，抗菌，无甲醛释放，适用于高卫生要求的墙面/天花板。"
"意式（Italian）","意式"
"钢管（Steel pipe）","钢管"
"H、I、U、V型钢","H型钢、I型钢、U型钢、V型钢"
"G654花岗岩抛光","G654花岗岩抛光面"
"墙纸与涂层","墙纸与涂料"
"保温隔热与防水","保温隔热与防水材料"
"EPS / XPS板","EPS/XPS板"
"40ft模块化集装箱办公室","40英尺模块化集装箱办公室"
"导轨射灯（track light）","导轨射灯"
"壁灯（wall sconce）","壁灯"
"摇头灯（moving head）","摇头灯"
"光束灯（beam light）","光束灯"
"车间高顶灯（highbay）","车间高顶灯"
"吊趟玻璃门（sliding hanging）","吊趟玻璃门"
"液压闭门器（door closer）","液压闭门器"
"60支全棉床品4件套","60支全棉床品四件套"
"赠客毛巾4件套","赠客毛巾四件套"
"牛皮纸盒洗漱用品6件套","牛皮纸盒洗漱用品六件套"
"胸牌（name tag）","胸牌"
"客房服务车（housekeeping）","客房服务车"
"抽象帆布画60×90 3联","抽象帆布画60×90 三联"
"依托 AI 算法自动处理订单、调度运输并优化物流路线。","依托AI算法自动处理订单、调度运输并优化物流路线。"
"采购中心 · 工厂验厂 · 采购与品控","采购中心·工厂验厂·采购与品控"
"总部 · 运营 · 越南分销","总部·运营·越南分销"
"越南国际仲裁中心（VIAC 河内）","越南国际仲裁中心（VIAC河内）"
"越南第 13/2023/NĐ-CP 号法令","越南第13/2023/NĐ-CP号法令"
"电梯 — 乘客电梯 / 自动扶梯 / 消防电梯 — 多种载重与应用场景。","电梯—乘客电梯/自动扶梯/消防电梯—多种载重与应用场景。"
"6人轿厢（450 kg）","6人轿厢（450kg）"
"13人轿厢（1000 kg）","13人轿厢（1000kg）"
"21人轿厢（1600 kg）","21人轿厢（1600kg）"
"速度 1.0–2.5 米/秒","速度1.0–2.5米/秒"
"梯级宽度 600–1000 mm","梯级宽度600–1000mm"
"倾斜角 30° / 35°","倾斜角30°/35°"
"机场 / 地铁","机场/地铁"
"钢材 — H/I/U/V型钢、钢管、钢板、彩钢瓦 — 广州FOB按吨报价。","钢材 — H/I/U/V型钢、钢管、钢板、彩钢瓦 — 广州FOB按吨报价"
"黑管 / 镀锌钢管","黑管/镀锌钢管"
"不锈钢 304/316","不锈钢304/316"
"M16+锚栓","M16锚栓"
"瓷砖板、陶瓷、MDF — 酒店与别墅室内设计专用。","瓷砖板、陶瓷、MDF — 酒店与别墅室内设计专用"
"木地板 + 地面材料 — SPC+LVT木地板、实木地板、瓷砖 — DDP 18天到货。","木地板+地面材料 — SPC+LVT木地板、实木地板、瓷砖 — DDP 18天到货"
"SPC + LVT木地板","SPC+LVT木地板"
"拉杆 / 镀锌龙骨","拉杆/镀锌龙骨"
"胶粘剂与填缝","胶粘剂与填缝剂"
"智能马桶冲洗+烘干+座圈加热+自动除臭。","智能马桶（冲洗+烘干+座圈加热+自动除臭）"
"花洒、面盆龙头、厨房龙头 — 铜镀铬 / 金色 / 哑光。","花洒、面盆龙头、厨房龙头 — 铜镀铬/金色/哑光。"
"3-5星FF&E整体配套 — 符合万豪/希尔顿标准设计。","3-5星FF&E整体配套 — 符合万豪/希尔顿标准设计"
"餐厅 / 酒吧","餐厅/酒吧"
"儿童床、学习桌、安全玩具 — E0/E1环保认证。","儿童床、学习桌、安全玩具 — E0/E1环保认证"
"单灶 / 双灶 / 3-4灶电磁炉 — 肖特微晶面板，功率3500W+。","单灶/双灶/3-4灶电磁炉 — 肖特微晶面板，功率3500W+"
"顶吸式、欧式、中岛式油烟机 — 风量700–1300 m³/h。","顶吸式、欧式、中岛式油烟机 — 风量700–1300 m³/h"
"顶吸 / 侧吸","顶吸/侧吸"
"机械式、电子式、带烧烤微波炉 — 容量20–42L。","机械式、电子式、带烧烤微波炉 — 容量20–42L"
"电子压力锅、多功能料理锅 — 容量4–10L。","电子压力锅、多功能料理锅 — 容量4–10L"
"机械式、电子式、IH电磁加热电饭煲 — 1.8–5L家用与餐厅。","机械式、电子式、IH电磁加热电饭煲 — 1.8–5L家用与餐厅"
"煮粥 / 慢炖","煮粥/慢炖"
"独立式、嵌入式、迷你洗碗机 — 6–14套标准。","独立式、嵌入式、迷你洗碗机 — 6–14套标准"
"304不锈钢单槽 / 双槽 / 三槽 — 手工细磨 / 静音。","304不锈钢单槽/双槽/三槽 — 手工细磨/静音"
"橱柜铰链、滑轨、拉手、不锈钢配件 — 整柜采购。","橱柜铰链、滑轨、拉手、不锈钢配件——整柜采购"
"35 mm杯型铰链","35mm杯型铰链"
"各类LED芯片光源 — 驱动器、模组、COB、SMD专用。","各类LED芯片光源——驱动器、模组、COB、SMD专用"
"吸顶灯、筒灯、面板灯、LED灯带 — 适用客厅与生活空间。","吸顶灯、筒灯、面板灯、LED灯带——适用客厅与生活空间"
"走廊 / 楼梯","走廊/楼梯"
"投光灯、工业灯管、射灯 — IP65/66。","投光灯、工业灯管、射灯——IP65/66"
"插座、开关、MCB、ATS — 照明系统配套配件。","插座、开关、MCB、ATS——照明系统配套配件"
"3D人脸识别+可视通话锁 — IP68防水。","3D人脸识别+可视通话锁 — IP68防水"
"指纹锁+Wi-Fi，App远程控制。","指纹锁+Wi-Fi，App远程控制"
"户外大门门栓锁，指纹+Wi-Fi — 别墅专用。","户外大门门栓锁，指纹+Wi-Fi — 别墅专用"
"适用木门、铝门、钢门的电子指纹锁 — 普及型。","适用木门、铝门、钢门的电子指纹锁 — 普及型"
"壁挂、嵌入式、柜式变频空调 — 多档功率。","壁挂、嵌入式、柜式变频空调 — 多档功率"
"美的是中国领先的多品牌家电集团，拥有覆盖中端到高端的战略品牌矩阵。美的的空调、冰箱、洗衣机以及厨房电器与小家电产品在中国市场占有领先份额，并出口至 200 多个国家。","美的是中国领先的多品牌家电集团，拥有覆盖中端到高端的战略品牌矩阵。美的的空调、冰箱、洗衣机以及厨房电器与小家电产品在中国市场占有领先份额，并出口至200多个国家。"
"全球 30+ 工厂 + 35+ 研发中心","全球30+工厂 + 35+研发中心"
"180,000+ 名员工（集团整体）","180,000+名员工（集团整体）"
"《财富》世界 500 强（自 2016 年起持续上榜）","《财富》世界500强（自2016年起持续上榜）"
"拥有 7 大战略子品牌：Midea、Little Swan、COLMO（高端 AI）、Toshiba（日系高端）、Cuckoo、Hualing（年轻 + 高性价比）、Comfee（出口）","拥有7大战略子品牌：Midea、Little Swan、COLMO（高端AI）、Toshiba（日系高端）、Cuckoo、Hualing（年轻+高性价比）、Comfee（出口）"
"分销网络覆盖 200+ 个国家","分销网络覆盖200+个国家"
"深圳证券交易所上市，代码 000333","深圳证券交易所上市，代码000333"
"拥有逾 150 年传承的日本品牌（东芝株式会社始于 1875 年）","拥有逾150年传承的日本品牌（东芝株式会社始于1875年）"
"家电业务自 2016 年起由美的集团运营 —— 研发保留于东京","家电业务自2016年起由美的集团运营——研发保留于东京"
"在越南由 Toshiba Lifestyle 正品分销（toshiba-lifestyle.com/vn）","在越南由Toshiba Lifestyle正品分销（toshiba-lifestyle.com/vn）"
"联塑是中国大型建材 + 家居 + 供应链集团，业务涵盖塑料管道、电线电缆、建筑材料、环保、新能源等多个领域。产品服务于民用、工业、农业及市政基础设施市场。","联塑是中国大型建材、家居及供应链集团，业务涵盖塑料管道、电线电缆、建筑材料、环保、新能源等多个领域，产品服务于民用、工业、农业及市政基础设施市场。"
"在中国及东南亚拥有 30+ 大型工厂","在中国及东南亚拥有30余家大型工厂"
"全国 7×24 小时热线：400-168-2128","全国7×24小时热线：400-168-2128"
"布局 7 个国际市场：英语区、阿联酋、美国、印度尼西亚、印度、马来西亚、柬埔寨","布局7个国际市场：英语区、阿联酋、美国、印度尼西亚、印度、马来西亚、柬埔寨"
"6 大产品体系：市政工程、民用、农业、工商业、消防、燃气","6大产品体系：市政工程、民用、农业、工商业、消防、燃气"
"Teka 是拥有逾百年历史的西班牙厨卫设备集团，旗下拥有 3 大品牌：Teka（1924 年，源自德国）、Küppersbusch（1875 年，德国高端，屡获 Red Dot 与 IF Design 奖）、Intra（1871 年，瑞典不锈钢水槽）。现隶属母公司 German Heritage B。","Teka是拥有逾百年历史的西班牙厨卫设备集团，旗下拥有3大品牌：Teka（1924年，源自德国）、Küppersbusch（1875年，德国高端，屡获Red Dot与IF Design奖）、Intra（1871年，瑞典不锈钢水槽）。现隶属母公司German Heritage B。"
"全球 15 家工厂","全球15家工厂"
"5,000 名员工","5,000名员工"
"服务全球 120+ 个国家、1 亿户家庭","服务全球120余个国家、1亿户家庭"
"约 50% 的西班牙家庭使用 Teka 产品","约50%的西班牙家庭使用Teka产品"
"拥有 3 大品牌矩阵：Teka（1924）、Küppersbusch（1875）、Intra（1871）","拥有3大品牌矩阵：Teka（1924）、Küppersbusch（1875）、Intra（1871）"
"Küppersbusch 屡获 Red Dot、IF Design、ADEX Platinum Excellence 奖项","Küppersbusch屡获Red Dot、IF Design、ADEX Platinum Excellence奖项"
"Küppersbusch 是德国设计委员会创始成员（2016）","Küppersbusch是德国设计委员会创始成员（2016）"
"东芝电梯（中国）是日本东芝集团在华分支机构，专注提供融合日本先进技术的高端电梯解决方案。2024 年，东芝电梯位列全球电梯厂商前 7 强，以磁悬浮导向技术、双层轿厢电梯及高速电梯纪录而著称。","东芝电梯（中国）是日本东芝集团在华分支机构，专注提供融合日本先进技术的高端电梯解决方案。2024年，东芝电梯位列全球电梯厂商前7强，以磁悬浮导向技术、双层轿厢电梯及高速电梯纪录而著称。"
"生产工厂位于沈阳 + 苏州","生产工厂位于沈阳及苏州"
"全球电梯前 7 强（2024）","全球电梯前7强（2024）"
"12 项核心技术：超高速、FLOORNAVI 目的层群控、AI 群梯管理、BIM 设计、磁悬浮导靴等","12项核心技术：超高速、FLOORNAVI目的层群控、AI群梯管理、BIM设计、磁悬浮导靴等"
"近期参考项目：内蒙古 CT 医学医院、山西六安华都五期（67 台）","近期参考项目：内蒙古CT医学医院、山西六安华都五期（67台）"
"广日电梯是上市企业，为广州工业投资控股集团（《财富》世界 500 强）的重要子公司。创立于 1956 年，自 1973 年起生产载货电梯，广日积累了逾 50 年经验，发展成为集研发 + 生产 + 安装 + 维保于一体的现代化企业。","广日电梯是上市企业，为广州工业投资控股集团（《财富》世界500强）的重要子公司。创立于1956年，自1973年起生产载货电梯，广日积累了逾50年经验，发展成为集研发、生产、安装、维保于一体的现代化企业。"
"广州市番禺区石楼镇国贸南大道 636 号","广州市番禺区石楼镇国贸南大道636号"
"主要生产在广州 + 全国设有辅助基地","主要生产在广州，全国设有辅助基地"
"母公司位列《财富》世界 500 强","母公司位列《财富》世界500强"
"逾 50 年电梯制造经验","逾50年电梯制造经验"
"提供全方位解决方案：研发 + 设计 + 生产 + 安装 + 维保 + 培训","提供全方位解决方案：研发、设计、生产、安装、维保、培训"
"TEEHO 是美国亚马逊智能锁热销品牌，专注设计与生产指纹锁 + 密码锁 + Wi-Fi 锁。产品融合现代技术与友好的用户体验，服务北美家庭、酒店及 Airbnb 短租市场。","TEEHO是美国亚马逊智能锁热销品牌，专注设计与生产指纹锁、密码锁及Wi-Fi锁。产品融合现代技术与友好的用户体验，服务北美家庭、酒店及Airbnb短租市场。"
"全部产品达 IP54（防尘 + 防水溅）或 IP55","全部产品达IP54（防尘及防水溅）或IP55"
"4× AA 电池续航 1 年 —— 无需频繁充电","4×AA电池续航1年，无需频繁充电"
"工作温度：-30°C 至 70°C（适应越南气候）","工作温度：-30°C至70°C（适应越南气候）"
